Cities,Year,Urban.Population,Urban.Temporary.Population,Gross.Urban.Population,Gross.Regional.Product,Number.of.Manufactured.Gas,Number.of.Natural.Gas,Number.of.Liquefied.Petroleum.Gas,Total.Gas.Consumption.Number
Beijing,2016,1879.6,29.58333333,1879.6,25669.13,1326.39,1447.29,432.31,1879.6
Beijing,2015,1877.7,59.16666667,1877.7,23014.59,1207.8,1445.82,431.88,1877.7
Beijing,2014,1859,88.75,1859,21019.1339,1089.21,1424.55,434.45,1859
Beijing,2013,1825.1,118.3333333,1825.1,19213.1742,970.62,1398.57,426.53,1825.1
Beijing,2012,1783.7,147.9166667,1783.7,17616.9998,852.03,1366.85,416.85,1783.7
Beijing,2011,1740.7,177.5,1740.7,16014.0592,733.44,1333.9,406.8,1740.7
Beijing,2010,1685.9,207.0833333,1685.9,13904.4131,614.85,1291.91,393.99,1685.9
Beijing,2009,1491.8,236.6666667,1491.8,11972,496.26,1143.2,348.6,1491.8
Beijing,2008,1439.1,266.25,1439.1,10325.1451,377.67,1068.12,370.98,1439.1
Beijing,2007,1379.9,295.8333333,1379.9,9207.6012,259.08,1000.89,501.39,1502.28
Beijing,2006,1333,325.4166667,1333,4024.87,140.49,956.84,560.6,1517.44
Beijing,2000,690.86,38.7,690.86,2332.305,82.94,295.3,252.69,630.93
Beijing,1999,682.43,38.7,682.43,1824.578,109.81,242.07,256.3,608.18
Beijing,1998,675.26,38.7,675.26,1780.98,132.34,194,263.08,589.42
Beijing,1997,670.04,38.7,670.04,1288.84,174.46,133.15,266.8,574.41
Beijing,1996,662.79,38.7,662.79,885.54,191.7,96.95,269.86,558.51
Beijing,1995,656.1,38.7,656.1,1238.7738,186.3,88.9,274.2,549.4
Beijing,1994,649.6,38.7,649.6,971.4848,179.4,72,274.5,525.9
Beijing,1993,640.8,38.7,640.8,811.6732,159.3,59.7,278.8,497.8
Beijing,1992,634.7,38.7,634.7,651.8616,151.7,57.8,280.1,489.6
Beijing,1991,629.6,38.7,629.6,492.05,139.6,51.9,285,476.5
Beijing,1990,624.5,38.7,624.5,438.48,126.85,44.01,294.83,465.69
Beijing,1989,619.4,38.7,619.4,399.16,121.32,35.1,311.2,467.62
Beijing,1988,614.3,38.7,614.3,299.46,131.4,19.5,307.1,458
Beijing,2017,1876.6,0,1876.6,28014.94,1444.98,1448.76,431.62,1876.6
Beijing,2005,1538,355,1893,6765.6245,21.9,880,340.77,1242.67
Beijing,2004,1187,341.5,1528.5,4160.9819,28,738,418,1184
Beijing,2003,962.7,350,1312.7,3557.2637,26,538,397,961
Beijing,2002,949.7,342.5,1292.2,3124.5124,63,496.6,386,945.6
Beijing,2001,861.43,190.6,1052.03,2697.94,61.6,355,440.38,856.98
Changchun,2006,250.85,13.69,250.85,405.5765,127,79.54,34.87,241.41
Changchun,2004,314.74,15.25,314.74,1123.7025,124,74.5,56.9,255.4
Changchun,2000,292.83,36.49,292.83,618.1598,118,36.4,46.5,200.9
